player,x,y,cluster,team,position
Mikkel Damsgaard,0.45455703,5.6116104,0,Brentford,"MF,FW"
Milos Kerkez,0.8796896,4.895175,0,Bournemouth,DF
Mohamed Salah,-0.3482783,7.8951907,2,Liverpool,FW
Mohammed Kudus,0.18158075,7.854572,2,West Ham,"FW,MF"
Moisés Caicedo,1.459125,4.356412,0,Chelsea,"MF,DF"
Morato,4.794474,6.43272,1,Nott'ham Forest,DF
Morgan Gibbs-White,-0.106793635,7.7422023,2,Nott'ham Forest,MF
Morgan Rogers,-0.099829435,7.86052,2,Aston Villa,"FW,MF"
Murillo,2.6312375,3.522143,0,Nott'ham Forest,DF
Mykhailo Mudryk,6.4741974,9.843941,1,Chelsea,FW
Myles Lewis-Skelly,3.9402707,7.05849,1,Arsenal,DF
Nasser Djiga,6.84598,8.975767,1,Wolves,DF
Nathan Aké,5.6549144,5.852399,1,Manchester City,DF
Nathan Broadhead,4.356294,8.670493,1,Ipswich Town,"MF,FW"
Nathan Butler-Oyedeji,7.3361783,9.470592,1,Arsenal,FW
Nathan Collins,2.7008414,3.464254,0,Brentford,DF
Nathan Patterson,5.8312893,8.351634,1,Everton,DF
Nathan Wood-Gordon,4.296222,6.216154,1,Southampton,DF
Nathaniel Clyne,5.9249654,6.2833333,1,Crystal Palace,"DF,MF"
Neco Williams,1.3043364,5.1615224,0,Nott'ham Forest,DF
Neto,7.5445786,6.5949707,1,Bournemouth,GK
Nick Pope,9.748036,6.4254885,1,Newcastle Utd,GK
Niclas Füllkrug,3.6850371,9.06905,1,West Ham,FW
Nico O’Reilly,4.126008,9.096168,1,Manchester City,DF
Nicolas Jackson,0.37437627,8.462647,2,Chelsea,FW
Nicolás Domínguez,2.436031,4.9099097,0,Nott'ham Forest,"MF,FW"
Nicolás González,4.735071,7.0267043,1,Manchester City,MF
Nikola Milenković,2.887818,4.0979505,0,Nott'ham Forest,DF
Noni Madueke,0.24927971,7.9849396,2,Chelsea,FW
Noussair Mazraoui,1.4615989,4.7987065,0,Manchester Utd,DF
Nélson Semedo,1.172929,5.053299,0,Wolves,DF
Odsonne Édouard,5.7005534,8.8231,1,Crystal Palace,"MF,FW"
Ola Aina,1.7358729,4.6099663,0,Nott'ham Forest,DF
Olabade Aluko,6.7029767,8.664113,1,Leicester City,DF
Oleksandr Zinchenko,5.499447,6.895411,1,Arsenal,"DF,MF"
Oliver Scarles,6.8135605,8.147156,1,West Ham,"DF,FW"
Oliver Skipp,4.137396,6.3514194,1,Leicester City,MF
Ollie Watkins,0.6829264,8.932826,2,Aston Villa,FW
